T	uv	vt	tt
5319.1489	0.20839551	0.32000925	-0.93360628
5291.0053	0.20864349	0.32027391	-0.94040876
5263.1579	0.20889229	0.32053751	-0.94725467
5235.6021	0.20914189	0.32080005	-0.95414429
5208.3333	0.20939228	0.32106153	-0.96107794
5181.3472	0.20964347	0.32132195	-0.96805593
5154.6392	0.20989545	0.3215813	-0.97507856
5128.2051	0.2101482	0.32183959	-0.98214615
5102.0408	0.21040174	0.3220968	-0.98925902
5076.1421	0.21065605	0.32235295	-0.99641749
5050.5051	0.21091112	0.32260802	-1.0036219
5025.1256	0.21116696	0.32286202	-1.0108726
5000	0.21142355	0.32311494	-1.0181698
4975.1244	0.2116809	0.32336678	-1.025514
4950.495	0.21193899	0.32361755	-1.0329055
4926.1084	0.21219783	0.32386724	-1.0403446
4901.9608	0.2124574	0.32411586	-1.0478317
4878.0488	0.2127177	0.32436339	-1.0553671
4854.3689	0.21297873	0.32460984	-1.0629512
4830.9179	0.21324048	0.32485521	-1.0705844
4807.6923	0.21350294	0.32509949	-1.0782671
4784.689	0.21376612	0.3253427	-1.0859995
4761.9048	0.21403	0.32558482	-1.0937821
4739.3365	0.21429459	0.32582586	-1.1016153
4716.9811	0.21455987	0.32606581	-1.1094995
4694.8357	0.21482584	0.32630468	-1.117435
4672.8972	0.2150925	0.32654247	-1.1254222
4651.1628	0.21535985	0.32677917	-1.1334616
4629.6296	0.21562787	0.32701479	-1.1415536
4608.2949	0.21589656	0.32724933	-1.1496986
4587.156	0.21616591	0.32748279	-1.1578969
4566.21	0.21643593	0.32771516	-1.166149
4545.4545	0.21670661	0.32794645	-1.1744554
4524.8869	0.21697794	0.32817666	-1.1828164
4504.5045	0.21724992	0.32840578	-1.1912326
4484.3049	0.21752254	0.32863383	-1.1997043
4464.2857	0.2177958	0.3288608	-1.208232
4444.4444	0.21806969	0.32908668	-1.2168161
4424.7788	0.21834421	0.32931149	-1.2254571
4405.2863	0.21861935	0.32953522	-1.2341555
4385.9649	0.21889512	0.32975788	-1.2429117
4366.8122	0.2191715	0.32997946	-1.2517263
4347.8261	0.21944849	0.33019996	-1.2605996
4329.0043	0.21972608	0.3304194	-1.2695322
4310.3448	0.22000427	0.33063776	-1.2785245
4291.8455	0.22028306	0.33085504	-1.2875771
4273.5043	0.22056245	0.33107126	-1.2966905
4255.3191	0.22084241	0.33128641	-1.3058651
4237.2881	0.22112296	0.3315005	-1.3151016
4219.4093	0.22140409	0.33171351	-1.3244003
4201.6807	0.2216858	0.33192547	-1.3337618
4184.1004	0.22196807	0.33213636	-1.3431867
4166.6667	0.2222509	0.33234619	-1.3526755
4149.3776	0.22253429	0.33255496	-1.3622287
4132.2314	0.22281824	0.33276267	-1.3718469
4115.2263	0.22310274	0.33296933	-1.3815306
4098.3607	0.22338779	0.33317493	-1.3912805
4081.6327	0.22367338	0.33337948	-1.401097
4065.0407	0.22395951	0.33358298	-1.4109808
4048.583	0.22424617	0.33378543	-1.4209324
4032.2581	0.22453336	0.33398684	-1.4309524
4016.0643	0.22482107	0.3341872	-1.4410415
4000	0.2251093	0.33438651	-1.4512002
3984.0637	0.22539805	0.33458479	-1.4614291
3968.254	0.22568732	0.33478203	-1.4717289
3952.5692	0.22597709	0.33497823	-1.4821001
3937.0079	0.22626736	0.3351734	-1.4925435
3921.5686	0.22655813	0.33536753	-1.5030596
3906.25	0.2268494	0.33556063	-1.5136491
3891.0506	0.22714116	0.33575271	-1.5243126
3875.969	0.2274334	0.33594376	-1.5350509
3861.0039	0.22772613	0.33613379	-1.5458645
3846.1538	0.22801933	0.33632279	-1.5567542
3831.4176	0.22831301	0.33651078	-1.5677206
3816.7939	0.22860716	0.33669775	-1.5787645
3802.2814	0.22890178	0.33688371	-1.5898865
3787.8788	0.22919686	0.33706866	-1.6010874
3773.5849	0.2294924	0.3372526	-1.6123678
3759.3985	0.22978839	0.33743553	-1.6237286
3745.3184	0.23008483	0.33761746	-1.6351703
3731.3433	0.23038172	0.33779839	-1.6466939
3717.4721	0.23067905	0.33797832	-1.6582999
3703.7037	0.23097682	0.33815725	-1.6699893
3690.0369	0.23127502	0.33833519	-1.6817627
3676.4706	0.23157365	0.33851214	-1.693621
3663.0037	0.23187271	0.3386881	-1.7055649
3649.635	0.2321722	0.33886308	-1.7175952
3636.3636	0.2324721	0.33903707	-1.7297128
3623.1884	0.23277242	0.33921009	-1.7419184
3610.1083	0.23307315	0.33938212	-1.7542129
3597.1223	0.23337429	0.33955319	-1.7665972
3584.2294	0.23367583	0.33972328	-1.779072
3571.4286	0.23397777	0.3398924	-1.7916382
3558.7189	0.23428011	0.34006056	-1.8042968
3546.0993	0.23458284	0.34022775	-1.8170486
3533.5689	0.23488596	0.34039399	-1.8298944
3521.1268	0.23518947	0.34055926	-1.8428352
3508.7719	0.23549336	0.34072359	-1.8558719
3496.5035	0.23579763	0.34088696	-1.8690054
3484.3206	0.23610227	0.34104938	-1.8822366
3472.2222	0.23640728	0.34121086	-1.8955666
3460.2076	0.23671266	0.34137139	-1.9089962
3448.2759	0.23701841	0.34153099	-1.9225265
3436.4261	0.23732451	0.34168965	-1.9361583
3424.6575	0.23763098	0.34184738	-1.9498928
3412.9693	0.23793779	0.34200417	-1.9637309
3401.3605	0.23824496	0.34216004	-1.9776736
3389.8305	0.23855247	0.34231498	-1.991722
3378.3784	0.23886033	0.342469	-2.0058771
3367.0034	0.23916853	0.34262211	-2.0201399
3355.7047	0.23947706	0.3427743	-2.0345116
3344.4816	0.23978593	0.34292557	-2.0489933
3333.3333	0.24009512	0.34307594	-2.063586
3322.2591	0.24040464	0.3432254	-2.0782908
3311.2583	0.24071449	0.34337396	-2.0931089
3300.33	0.24102465	0.34352162	-2.1080415
3289.4737	0.24133514	0.34366838	-2.1230896
3278.6885	0.24164593	0.34381425	-2.1382545
3267.9739	0.24195704	0.34395923	-2.1535373
3257.329	0.24226845	0.34410332	-2.1689392
3246.7532	0.24258016	0.34424652	-2.1844616
3236.246	0.24289218	0.34438885	-2.2001055
